product,scent_slug,fragrance_slug,productId,title,image,lprice,mallName,link
shampoo,fruity,peach,shampoo-fruity-peach-1,,,,,
shampoo,fruity,grapefruit,shampoo-fruity-grapefruit-1,,,,,
shampoo,fruity,lemon,shampoo-fruity-lemon-1,,,,,
shampoo,fruity,mango,shampoo-fruity-mango-1,,,,,
shampoo,fruity,strawberry,shampoo-fruity-strawberry-1,,,,,
shampoo,floral,rose,shampoo-floral-rose-1,,,,,
shampoo,floral,lavender,shampoo-floral-lavender-1,,,,,
bodywash,fruity,peach,bodywash-fruity-peach-1,,,,,
bodywash,fruity,grapefruit,bodywash-fruity-grapefruit-1,,,,,
bodywash,fruity,lemon,bodywash-fruity-lemon-1,,,,,
bodywash,fruity,mango,bodywash-fruity-mango-1,,,,,
bodywash,fruity,strawberry,bodywash-fruity-strawberry-1,,,,,
bodywash,woody,sandalwood,bodywash-woody-sandalwood-1,,,,,
bodywash,woody,cedarwood,bodywash-woody-cedarwood-1,,,,,
